feature,importance
embedding_cosine_sim,1572
embedding_euclidean_dist,1495
avg_user_rating,1417
tag_vocab_size,1231
ratings_count,773
book_avg_rating,678
history_similarity,498
activity_score,465
tag_jaccard,436
tag_overlap_ratio,218
average_rating,177
book_emb_516,176
tag_overlap_count,142
book_emb_117,130
book_emb_29,119
book_emb_255,102
book_emb_139,95
book_emb_350,88
book_popularity,87
book_emb_508,86
book_emb_489,80
book_emb_445,80
book_emb_253,78
book_emb_678,77
book_emb_691,76
book_emb_693,75
book_emb_727,74
book_emb_716,69
book_emb_576,67
book_emb_301,66
book_emb_718,66
book_emb_761,65
book_emb_452,65
book_emb_1,63
book_emb_559,63
book_emb_591,63
book_emb_314,62
book_emb_118,62
book_emb_166,62
book_emb_248,61
book_emb_612,60
book_emb_380,60
book_emb_198,59
book_emb_706,58
book_emb_710,58
book_emb_552,58
book_emb_460,57
book_emb_334,57
segment_encoded,56
book_emb_515,56
book_emb_324,56
book_emb_399,56
book_emb_557,56
book_emb_82,56
book_emb_232,56
book_emb_85,55
book_emb_510,55
book_emb_517,54
book_emb_599,54
book_emb_467,54
book_emb_211,53
book_emb_229,51
book_emb_500,49
book_emb_236,48
book_emb_720,48
book_emb_582,48
book_emb_300,48
book_emb_395,47
book_emb_488,47
book_emb_56,47
book_emb_729,46
book_emb_179,46
book_emb_202,46
book_emb_613,45
book_emb_122,45
book_emb_436,45
book_emb_461,44
book_emb_297,44
language_code_encoded,43
book_emb_575,43
book_emb_22,42
book_emb_735,42
book_emb_48,42
book_emb_203,42
book_emb_80,41
book_emb_579,41
book_emb_417,41
book_emb_475,41
book_emb_138,40
book_emb_420,40
book_emb_562,39
book_emb_655,39
book_emb_628,39
book_emb_279,39
book_emb_391,38
book_emb_363,38
book_emb_53,38
book_emb_25,38
book_emb_724,38
book_emb_765,37
book_emb_454,37
book_emb_522,36
book_emb_533,36
year_normalized,36
book_emb_264,36
book_emb_52,36
book_emb_142,35
book_emb_307,35
book_emb_244,35
book_emb_282,35
book_emb_669,35
book_emb_608,35
book_emb_308,35
book_emb_130,35
book_emb_305,35
book_emb_79,35
book_emb_481,34
book_emb_629,34
book_emb_642,34
book_emb_410,34
book_emb_548,34
book_emb_645,34
book_emb_8,34
book_emb_731,34
book_emb_171,34
book_emb_256,33
book_emb_527,33
book_emb_187,33
book_emb_172,33
book_emb_666,33
