feature,importance
avg_user_rating,0.5912438469233808
book_avg_rating,0.10966272069486806
embedding_cosine_sim,0.050156598923946125
embedding_euclidean_dist,0.04784929784504982
average_rating,0.040101726597519184
book_popularity,0.03979929964094877
tag_vocab_size,0.022397849993596005
activity_score,0.02152511068198239
ratings_count,0.014034929305653318
history_similarity,0.012960374059678764
tag_jaccard,0.0116650728281508
year_normalized,0.009136804180133266
tag_overlap_ratio,0.008859325588548081
tag_overlap_count,0.007317250321368051
book_ratings_count,0.004911223082966249
segment_encoded,0.0041689285592015615
language_code_encoded,0.002393022213249383
publication_era,0.0018166185597592284
